,delta,tau,fname
5781,0.9983471213431703,81,LID
5782,0.9984648086130657,82,LID
5783,0.9985816926419017,83,LID
5784,0.9986885962126795,84,LID
5785,0.9987921462804429,85,LID
5786,0.9988939689906974,86,LID
5787,0.998990467719428,87,LID
5788,0.9990869307513875,88,LID
5789,0.9991798384619723,89,LID
5790,0.9992717364658132,90,LID
5791,0.9993559956097078,91,LID
5792,0.9994387204792048,92,LID
5793,0.999517916172414,93,LID
5794,0.9995955617747521,94,LID
5795,0.9996691414866573,95,LID
5796,0.999742351222658,96,LID
5797,0.9998126085310993,97,LID
5798,0.9998812468505272,98,LID
5799,0.9999450775704843,99,LID
5800,0.0,0,LES
5801,0.20838026989455347,1,LES
5802,0.3538915958557488,2,LES
5803,0.4630170172165517,3,LES
5804,0.5635490618592907,4,LES
5805,0.6616827231826484,5,LES
5806,0.7507270460268268,6,LES
5807,0.8232048630510364,7,LES
5808,0.8776414330286945,8,LES
5809,0.9158080303685084,9,LES
5810,0.9378891724559717,10,LES
5811,0.9495882434373205,11,LES
5812,0.9551160118043082,12,LES
5813,0.9592409529925997,13,LES
5814,0.963210309951332,14,LES
5815,0.9664224914501212,15,LES
5816,0.9694413136825308,16,LES
5817,0.9720852124068513,17,LES
5818,0.9746235052820138,18,LES
5819,0.9769784499868892,19,LES
5820,0.979223523681763,20,LES
5821,0.9811853264863702,21,LES
5822,0.9827591193382795,22,LES
5823,0.9841039710641882,23,LES
5824,0.9851735922816387,24,LES
5825,0.9862389169389331,25,LES
5826,0.987228164378566,26,LES
5827,0.9880035892228937,27,LES
5828,0.9886439649083546,28,LES
5829,0.9892037107752923,29,LES
5830,0.9896768732957445,30,LES
5831,0.9901243737770117,31,LES
5832,0.9905637476375585,32,LES
5833,0.9909972853466958,33,LES
5834,0.9914122864109122,34,LES
5835,0.9917905820260118,35,LES
5836,0.9921571390899295,36,LES
5837,0.992522654573736,37,LES
5838,0.992887369844828,38,LES
5839,0.99322244129228,39,LES
5840,0.9935435211325173,40,LES
5841,0.9938562047293134,41,LES
5842,0.9941686034359906,42,LES
5843,0.9944558889884227,43,LES
5844,0.9947216026473534,44,LES
5845,0.9949872342850772,45,LES
5846,0.9952312994702311,46,LES
5847,0.9954432343205962,47,LES
5848,0.9956393736619922,48,LES
5849,0.9958319657471987,49,LES
5850,0.9960207083757603,50,LES
5851,0.9962067674940356,51,LES
5852,0.9963781819700666,52,LES
5853,0.9965403929966264,53,LES
5854,0.9966947683213836,54,LES
5855,0.996844607390749,55,LES
5856,0.9969938321486492,56,LES
5857,0.9971413971978276,57,LES
5858,0.997285325843533,58,LES
5859,0.9974272651661347,59,LES
5860,0.9975597586508512,60,LES
5861,0.9976907589827757,61,LES
5862,0.9978213376813159,62,LES
5863,0.9979440949510826,63,LES
5864,0.9980594949907798,64,LES
5865,0.9981719170355804,65,LES
5866,0.9982834284505397,66,LES
5867,0.9983928980431019,67,LES
5868,0.9984928635532706,68,LES
5869,0.9985831483113706,69,LES
5870,0.9986719768711931,70,LES
5871,0.9987595071338401,71,LES
5872,0.9988458153496435,72,LES
5873,0.9989304030831331,73,LES
5874,0.9990133713538609,74,LES
5875,0.9990925570897956,75,LES
5876,0.9991679161524648,76,LES
5877,0.9992386748815154,77,LES
5878,0.9993025577181772,78,LES
5879,0.9993635779381973,79,LES
5880,0.9994201614952014,80,LES
5881,0.9994742840473765,81,LES
5882,0.9995245127488356,82,LES
5883,0.9995738148062012,83,LES
5884,0.9996217982993147,84,LES
5885,0.9996595818371741,85,LES
5886,0.9996969149605293,86,LES
5887,0.9997326055694289,87,LES
5888,0.9997640563553682,88,LES
5889,0.9997927052844987,89,LES
5890,0.9998192310040209,90,LES
5891,0.9998451194932882,91,LES
5892,0.9998689414313724,92,LES
5893,0.99989003830158,93,LES
5894,0.9999098781709203,94,LES
5895,0.9999287910554124,95,LES
5896,0.9999464227505527,96,LES
5897,0.9999619692489525,97,LES
5898,0.9999764319981518,98,LES
5899,0.9999895893041278,99,LES
5900,0.0,0,LES
5901,0.16768354675542774,1,LES
5902,0.29156751188577557,2,LES
5903,0.3933206717203619,3,LES
5904,0.4813331961737501,4,LES
5905,0.5630234469340591,5,LES
5906,0.641815400286063,6,LES
5907,0.7136309326522032,7,LES
5908,0.7750719472370228,8,LES
5909,0.821036391734278,9,LES
5910,0.8505543314235762,10,LES
5911,0.8688579848785574,11,LES
5912,0.8829485980224093,12,LES
5913,0.896617572173622,13,LES
5914,0.9064398379437391,14,LES
5915,0.9149444201384532,15,LES
5916,0.9233761613226762,16,LES
5917,0.9297864211121077,17,LES
5918,0.9357368993224179,18,LES
5919,0.9404249834973802,19,LES
5920,0.9443584712007312,20,LES
5921,0.9481555892887864,21,LES
5922,0.9514375445305343,22,LES
5923,0.954578764257701,23,LES
5924,0.9571004102704243,24,LES
5925,0.9594833836922428,25,LES
5926,0.9617369199929106,26,LES
5927,0.9639006172046775,27,LES
5928,0.9659881877802865,28,LES
5929,0.9676724117305698,29,LES
5930,0.9693396760559813,30,LES
5931,0.970758204344943,31,LES
5932,0.9721637067623992,32,LES
5933,0.9735553705682365,33,LES
5934,0.9749334840925462,34,LES
5935,0.9762067960344314,35,LES
5936,0.9772630389460453,36,LES
5937,0.978284545993824,37,LES
5938,0.9792799216330009,38,LES
5939,0.9802740118139024,39,LES
5940,0.9811222664158306,40,LES
5941,0.9819677127633024,41,LES
5942,0.9827420205173226,42,LES
5943,0.9834844575426647,43,LES
5944,0.984207895008798,44,LES
5945,0.9848417969738262,45,LES
5946,0.9854755660421114,46,LES
5947,0.9860019662716724,47,LES
5948,0.9865172457693222,48,LES
5949,0.9870132521278184,49,LES
5950,0.9874864613113415,50,LES
5951,0.9879281421113085,51,LES
5952,0.9883644760120931,52,LES
5953,0.9887997940861387,53,LES
5954,0.9892123057755172,54,LES
5955,0.9896235362380541,55,LES
5956,0.9900133461173253,56,LES
5957,0.9904023063873615,57,LES
5958,0.9907789694879268,58,LES
5959,0.9911534974410793,59,LES
5960,0.9914925768211057,60,LES
5961,0.9918309847115468,61,LES
5962,0.9921493837894408,62,LES
5963,0.9924676913318498,63,LES
5964,0.9927663338337841,64,LES
5965,0.9930601602442881,65,LES
5966,0.9933528265327153,66,LES
5967,0.9936348739708223,67,LES
5968,0.993914328627764,68,LES
5969,0.9941934869141167,69,LES
5970,0.9944649256947716,70,LES
5971,0.9947343006010201,71,LES
5972,0.9949911234289941,72,LES
5973,0.9952456812539432,73,LES
5974,0.9954930873490488,74,LES
5975,0.995737849401254,75,LES
5976,0.9959795888740989,76,LES
5977,0.9962166544523928,77,LES
5978,0.9964507700430254,78,LES
5979,0.9966779957028185,79,LES
5980,0.9969047890837278,80,LES
5981,0.9971254828678645,81,LES
5982,0.9973408798052079,82,LES
5983,0.9975500499147998,83,LES
5984,0.9977510568216011,84,LES
5985,0.9979474480017405,85,LES
5986,0.9981217972911212,86,LES
5987,0.9982943191410615,87,LES
5988,0.9984621536797047,88,LES
5989,0.9986283250671693,89,LES
5990,0.9987829362189434,90,LES
5991,0.9989172601703539,91,LES
5992,0.9990510805282575,92,LES
5993,0.9991824198463214,93,LES
5994,0.9993115948354876,94,LES
5995,0.999440006476791,95,LES
5996,0.9995632398268997,96,LES
5997,0.9996854071218867,97,LES
5998,0.9998037161240544,98,LES
5999,0.9999076167110759,99,LES
6000,0.0,0,LES
6001,0.2732796289179745,1,LES
6002,0.4317682031933588,2,LES
6003,0.5668396442047308,3,LES
6004,0.6754771843951639,4,LES
6005,0.7622246192608158,5,LES
6006,0.8303120727711244,6,LES
6007,0.8843488349418117,7,LES
6008,0.9245003691736594,8,LES
6009,0.9530011229171382,9,LES
6010,0.9707377193157702,10,LES
6011,0.980147532117808,11,LES
6012,0.9845627075486032,12,LES
6013,0.9868998202483756,13,LES
6014,0.9890461535585892,14,LES
6015,0.9910218068765776,15,LES
6016,0.9924736428448476,16,LES
6017,0.993549702359848,17,LES
6018,0.9942347809656673,18,LES
6019,0.9948599752640601,19,LES
6020,0.9953304030452026,20,LES
6021,0.9957184444399023,21,LES
6022,0.9960621114592787,22,LES
6023,0.9963563335977171,23,LES
6024,0.9966154428815828,24,LES
6025,0.9967901638750266,25,LES
6026,0.9969545106315976,26,LES
6027,0.9971164518558548,27,LES
6028,0.9972669247304887,28,LES
6029,0.9973957233937311,29,LES
6030,0.9975197392597037,30,LES
6031,0.9976360058425013,31,LES
6032,0.9977304141898594,32,LES
6033,0.9978232508865666,33,LES
6034,0.9979085419522059,34,LES
6035,0.997992745754901,35,LES
6036,0.9980632998431023,36,LES
6037,0.9981324480059756,37,LES
6038,0.9981985797928894,38,LES
6039,0.9982646076225173,39,LES
6040,0.9983273101446443,40,LES
6041,0.9983882744100366,41,LES
6042,0.9984486261110551,42,LES
6043,0.9985075961026209,43,LES
6044,0.9985663351796188,44,LES
6045,0.9986203499819095,45,LES
6046,0.9986743527302697,46,LES
6047,0.9987196761730524,47,LES
6048,0.9987642762519323,48,LES
6049,0.9988061853850303,49,LES
6050,0.9988471819185355,50,LES
6051,0.9988869877854459,51,LES
6052,0.9989231556232036,52,LES
6053,0.998958844065044,53,LES
6054,0.998994430350694,54,LES
6055,0.9990297300195614,55,LES
6056,0.9990626501455027,56,LES
6057,0.9990955056756794,57,LES
6058,0.9991272755663261,58,LES
6059,0.9991574231498515,59,LES
6060,0.9991862187192334,60,LES
6061,0.9992149165945491,61,LES
6062,0.9992435964676429,62,LES
6063,0.9992707955701997,63,LES
6064,0.9992970026548064,64,LES
6065,0.9993231347556859,65,LES
6066,0.9993492093081735,66,LES
6067,0.9993743987673918,67,LES
6068,0.9993994901879044,68,LES
6069,0.9994238466254887,69,LES
6070,0.9994470562656789,70,LES
6071,0.9994702250662112,71,LES
6072,0.9994925613184613,72,LES
6073,0.9995144438806693,73,LES
6074,0.9995363081292625,74,LES
6075,0.9995581003707495,75,LES
6076,0.9995797880863028,76,LES
6077,0.9996014237761464,77,LES
6078,0.9996230284283666,78,LES
6079,0.9996441034912328,79,LES
6080,0.9996648743202168,80,LES
6081,0.9996855723981962,81,LES
6082,0.999705937958741,82,LES
6083,0.9997262703338194,83,LES
6084,0.999745945881331,84,LES
6085,0.9997651240529746,85,LES
6086,0.9997841222221724,86,LES
6087,0.9998019306170586,87,LES
6088,0.9998197023339432,88,LES
6089,0.9998365885316919,89,LES
6090,0.9998533186653108,90,LES
6091,0.9998696273698209,91,LES
6092,0.9998859128061615,92,LES
6093,0.9999016728992057,93,LES
6094,0.999917119118696,94,LES
6095,0.9999318497313533,95,LES
6096,0.9999464469200695,96,LES
6097,0.999960745442165,97,LES
6098,0.999974938806579,98,LES
6099,0.9999879654890752,99,LES
6100,0.0,0,D2A
6101,0.23273674189155852,1,D2A
6102,0.37140753471993065,2,D2A
6103,0.46665609732506275,3,D2A
6104,0.5445852541545517,4,D2A
6105,0.615476091607051,5,D2A
6106,0.6844012164566385,6,D2A
6107,0.7476418766987095,7,D2A
6108,0.8004771543169497,8,D2A
6109,0.840707079132584,9,D2A
6110,0.8678700119285423,10,D2A
6111,0.8851421462083215,11,D2A
6112,0.8977813524518053,12,D2A
6113,0.9096235612357337,13,D2A
6114,0.9186484189541869,14,D2A
6115,0.926985293352493,15,D2A
6116,0.9347545367066238,16,D2A
6117,0.9400582396498103,17,D2A
6118,0.9450653390660967,18,D2A
6119,0.9492356339451079,19,D2A
6120,0.9525805667466292,20,D2A
6121,0.9559127791557941,21,D2A
6122,0.9588043800229846,22,D2A
6123,0.961485531617955,23,D2A
6124,0.9637185538737448,24,D2A
6125,0.9657128029803355,25,D2A
6126,0.9676911160195996,26,D2A
