,delta,tau,fname
5033,-9.369440849406422,33,LES
5034,-9.382270475085507,34,LES
5035,-9.559130933772648,35,LES
5036,-9.57925906747626,36,LES
5037,-9.62386103541489,37,LES
5038,-9.625434243782221,38,LES
5039,-9.67710888582407,39,LES
5040,-9.705222678687178,40,LES
5041,-9.715321424928007,41,LES
5042,-9.73848186097743,42,LES
5043,-9.742405345665599,43,LES
5044,-9.826252432468188,44,LES
5045,-9.826475617135255,45,LES
5046,-10.001686158612094,46,LES
5047,-10.017774930331823,47,LES
5048,-10.080006781089308,48,LES
5049,-10.102023043486756,49,LES
5050,-10.131496246728217,50,LES
5051,-10.227340293781625,51,LES
5052,-10.240683679570806,52,LES
5053,-10.243550228877012,53,LES
5054,-10.251636974594582,54,LES
5055,-10.321426356487795,55,LES
5056,-10.32339048087858,56,LES
5057,-10.356991551719497,57,LES
5058,-10.409405786413878,58,LES
5059,-10.455289023562669,59,LES
5060,-10.458687468751627,60,LES
5061,-10.459314967143348,61,LES
5062,-10.512326579442055,62,LES
5063,-10.549480778915726,63,LES
5064,-10.552346080611374,64,LES
5065,-10.554550719734051,65,LES
5066,-10.589084935940111,66,LES
5067,-10.592984582500007,67,LES
5068,-10.622714366199355,68,LES
5069,-10.670942840161263,69,LES
5070,-10.672703988994085,70,LES
5071,-10.709299538015014,71,LES
5072,-10.729820484525236,72,LES
5073,-10.730657739423643,73,LES
5074,-10.733956546605823,74,LES
5075,-10.738764561254223,75,LES
5076,-10.741166299259023,76,LES
5077,-10.74260188589998,77,LES
5078,-10.76742007110468,78,LES
5079,-10.781961008305073,79,LES
5080,-10.785469713238948,80,LES
5081,-10.801665292337912,81,LES
5082,-10.803296110856957,82,LES
5083,-10.836133936264963,83,LES
5084,-10.861737819249138,84,LES
5085,-10.871167941450048,85,LES
5086,-10.935840589027125,86,LES
5087,-10.937902303434154,87,LES
5088,-10.9890139709783,88,LES
5089,-10.998299056209857,89,LES
5090,-11.023811573668082,90,LES
5091,-11.025239325574343,91,LES
5092,-11.058029569726454,92,LES
5093,-11.078146277750275,93,LES
