,delta,tau,fname
1814,-4.953057088472156,14,LES
1815,-4.955210874007004,15,LES
1816,-5.12776345894046,16,LES
1817,-5.176944794479577,17,LES
1818,-5.472129285057479,18,LES
1819,-5.578664834397723,19,LES
1820,-5.580210506590697,20,LES
1821,-5.896649816163468,21,LES
1822,-5.95528901638304,22,LES
1823,-6.072485321965157,23,LES
1824,-6.199728290162261,24,LES
1825,-6.210098245890602,25,LES
1826,-6.302041436920759,26,LES
1827,-6.3550786138377475,27,LES
1828,-6.391550826168782,28,LES
1829,-6.396877892011514,29,LES
1830,-6.60242606919896,30,LES
1831,-6.6030555437493605,31,LES
1832,-6.666908811031244,32,LES
1833,-6.810578703443574,33,LES
1834,-6.844588760063199,34,LES
1835,-6.908353243595056,35,LES
1836,-6.908822838473705,36,LES
1837,-6.913284040067613,37,LES
1838,-6.91522821340799,38,LES
1839,-6.970780267310927,39,LES
1840,-6.992156659373262,40,LES
1841,-7.215652371834373,41,LES
1842,-7.221950312331507,42,LES
1843,-7.222040543639496,43,LES
1844,-7.2622816259861604,44,LES
1845,-7.266378182294336,45,LES
1846,-7.292604990864168,46,LES
1847,-7.3345167783119525,47,LES
1848,-7.431647273438423,48,LES
1849,-7.445150740335626,49,LES
1850,-7.456948486596843,50,LES
1851,-7.459256961130295,51,LES
1852,-7.543969739818365,52,LES
1853,-7.591569895141176,53,LES
1854,-7.596195958021038,54,LES
1855,-7.618196527159621,55,LES
1856,-7.666193634588928,56,LES
1857,-7.6861535263256195,57,LES
1858,-7.7079158531255985,58,LES
1859,-7.717295273715816,59,LES
1860,-7.736159830629373,60,LES
1861,-7.762523833896121,61,LES
1862,-7.774799803248885,62,LES
1863,-7.780475880171026,63,LES
1864,-7.783420327113658,64,LES
1865,-7.861470939418544,65,LES
1866,-7.863403789645622,66,LES
1867,-7.864663345966123,67,LES
1868,-7.892813836317448,68,LES
1869,-7.911815240049096,69,LES
1870,-7.911920770234047,70,LES
1871,-7.9198003498196705,71,LES
1872,-7.977772200401802,72,LES
1873,-8.03541605793819,73,LES
1874,-8.047488229461162,74,LES
1875,-8.060553123602306,75,LES
1876,-8.077629522703939,76,LES
1877,-8.098503941360633,77,LES
1878,-8.11958152744378,78,LES
1879,-8.144994137761296,79,LES
1880,-8.266121522171604,80,LES
1881,-8.266173333818628,81,LES
1882,-8.352581135542605,82,LES
1883,-8.358797726731751,83,LES
1884,-8.409896748066995,84,LES
1885,-8.420768118823583,85,LES
1886,-8.429155248012538,86,LES
1887,-8.449268176336984,87,LES
1888,-8.48386144252588,88,LES
1889,-8.491924776264886,89,LES
1890,-8.506753912456922,90,LES
1891,-8.53489043831522,91,LES
1892,-8.555019955428905,92,LES
1893,-8.559374236315278,93,LES
1894,-8.57478993860328,94,LES
1895,-8.592266408383564,95,LES
1896,-8.659857374071946,96,LES
1897,-8.736669958897457,97,LES
1898,-8.81955516087837,98,LES
1899,-8.858881753820729,99,LES
1900,-1.619334890488174,0,SKF
1901,-1.8387626956373901,1,SKF
1902,-2.027147945310731,2,SKF
1903,-2.2842680811510236,3,SKF
1904,-2.393436903402721,4,SKF
1905,-2.4467544619707726,5,SKF
1906,-2.6033610368724114,6,SKF
1907,-2.843386491600232,7,SKF
1908,-3.276076823756609,8,SKF
1909,-3.8316548720316095,9,SKF
1910,-4.472728932238482,10,SKF
1911,-5.225841022607336,11,SKF
1912,-5.910428957229265,12,SKF
1913,-5.9794897234594515,13,SKF
1914,-6.072138928008498,14,SKF
1915,-6.410427216243445,15,SKF
1916,-6.690399145333032,16,SKF
1917,-6.858056122772216,17,SKF
1918,-6.957946984331645,18,SKF
1919,-7.405781501486528,19,SKF
1920,-7.456764169597055,20,SKF
1921,-7.535099983111639,21,SKF
1922,-7.719852272298169,22,SKF
1923,-7.812265969445381,23,SKF
1924,-7.83850809765851,24,SKF
1925,-7.8387801319180745,25,SKF
1926,-8.121873853796496,26,SKF
1927,-8.144574099348787,27,SKF
1928,-8.217695407095412,28,SKF
1929,-8.330264199160066,29,SKF
1930,-8.42351151073657,30,SKF
1931,-8.474763032175545,31,SKF
1932,-8.509782932070912,32,SKF
1933,-8.518385419067437,33,SKF
1934,-8.531666167179566,34,SKF
1935,-8.670935086012548,35,SKF
1936,-8.675250712780073,36,SKF
1937,-8.70144426243805,37,SKF
1938,-8.713372713740423,38,SKF
1939,-8.84128406911373,39,SKF
1940,-8.921520768844978,40,SKF
1941,-8.937834385569811,41,SKF
1942,-8.951493361197457,42,SKF
1943,-8.978984681885757,43,SKF
1944,-8.996641024638125,44,SKF
1945,-8.997932230671529,45,SKF
1946,-9.05184081276116,46,SKF
1947,-9.07118172972507,47,SKF
1948,-9.098748396706373,48,SKF
1949,-9.101008125889347,49,SKF
1950,-9.133635441215077,50,SKF
1951,-9.134215380742733,51,SKF
1952,-9.192925856560484,52,SKF
1953,-9.20976639384056,53,SKF
1954,-9.233113943984867,54,SKF
1955,-9.311208931330354,55,SKF
1956,-9.311556220656664,56,SKF
1957,-9.334078787671974,57,SKF
1958,-9.354261347475457,58,SKF
1959,-9.360915958699147,59,SKF
1960,-9.367051065140043,60,SKF
1961,-9.390723154286373,61,SKF
1962,-9.456952250240105,62,SKF
1963,-9.458831123529439,63,SKF
1964,-9.463335082946784,64,SKF
1965,-9.475205960773764,65,SKF
1966,-9.483019326940786,66,SKF
1967,-9.540289157874028,67,SKF
1968,-9.549561189326424,68,SKF
1969,-9.576013204223322,69,SKF
1970,-9.608385430650024,70,SKF
1971,-9.628420636498776,71,SKF
1972,-9.629742395970377,72,SKF
1973,-9.666112693024177,73,SKF
1974,-9.729162474885312,74,SKF
1975,-9.755804575576594,75,SKF
1976,-9.779103622264683,76,SKF
1977,-9.789696428410746,77,SKF
1978,-9.804035825897051,78,SKF
1979,-9.84080919331738,79,SKF
1980,-9.878133078802527,80,SKF
1981,-9.953096017323965,81,SKF
1982,-9.989401946884621,82,SKF
1983,-9.992000684890888,83,SKF
1984,-10.031003833046622,84,SKF
1985,-10.031249879180333,85,SKF
1986,-10.064864144449857,86,SKF
1987,-10.067072876270828,87,SKF
1988,-10.114077816540417,88,SKF
1989,-10.145259803416566,89,SKF
1990,-10.258656962347569,90,SKF
1991,-10.265880514971398,91,SKF
1992,-10.296191074358067,92,SKF
1993,-10.356579649009632,93,SKF
1994,-10.47200162961873,94,SKF
1995,-10.478564882069891,95,SKF
1996,-10.550486197298982,96,SKF
1997,-10.585777498214348,97,SKF
1998,-10.737211591022447,98,SKF
1999,-10.843413144617706,99,SKF
2000,-1.0808099145968553,0,D1A
2001,-2.1816800549126856,1,D1A
2002,-2.424946175785349,2,D1A
2003,-2.4848269180962137,3,D1A
2004,-2.5361645972469553,4,D1A
2005,-2.758303838775104,5,D1A
2006,-2.987134605993466,6,D1A
2007,-3.1431524749742397,7,D1A
2008,-3.2975980542730645,8,D1A
2009,-3.6440744978731896,9,D1A
2010,-4.140127022578138,10,D1A
2011,-4.7762929502942,11,D1A
2012,-5.003659666115754,12,D1A
2013,-5.0388192948225505,13,D1A
2014,-5.237025183197913,14,D1A
2015,-5.458428746447776,15,D1A
2016,-5.955418192829283,16,D1A
2017,-6.34375834341933,17,D1A
2018,-6.372984236936586,18,D1A
2019,-6.5312098806711685,19,D1A
2020,-6.572798664309098,20,D1A
2021,-6.641453321797106,21,D1A
2022,-6.755059672932387,22,D1A
2023,-6.840173580230127,23,D1A
2024,-6.985641135182638,24,D1A
2025,-7.097651586395412,25,D1A
2026,-7.0980560276255735,26,D1A
2027,-7.14359613602048,27,D1A
2028,-7.349417190952504,28,D1A
2029,-7.35108735995627,29,D1A
2030,-7.44535542097833,30,D1A
2031,-7.503117485213185,31,D1A
2032,-7.5315848744518386,32,D1A
2033,-7.542155067168894,33,D1A
2034,-7.648348310394752,34,D1A
2035,-7.8193342237899435,35,D1A
2036,-7.846098355620589,36,D1A
2037,-7.950773378794218,37,D1A
2038,-7.9652033318811855,38,D1A
2039,-7.989546680561246,39,D1A
2040,-8.04473343782111,40,D1A
2041,-8.162334887072236,41,D1A
2042,-8.16244230601998,42,D1A
2043,-8.200680541463953,43,D1A
2044,-8.300185265367258,44,D1A
2045,-8.324782256891925,45,D1A
2046,-8.39316102076705,46,D1A
2047,-8.396543954904441,47,D1A
2048,-8.406955620454879,48,D1A
2049,-8.40826749187481,49,D1A
2050,-8.515743455729513,50,D1A
2051,-8.62030809332285,51,D1A
2052,-8.639301770104868,52,D1A
2053,-8.653417177949068,53,D1A
2054,-8.692918065315714,54,D1A
2055,-8.70528382639067,55,D1A
2056,-8.716888720228166,56,D1A
2057,-8.725593447923385,57,D1A
2058,-8.746696669676927,58,D1A
2059,-8.747289840288085,59,D1A
2060,-8.759208700322155,60,D1A
2061,-8.766309732771434,61,D1A
2062,-8.769933146384206,62,D1A
2063,-8.833324776144165,63,D1A
2064,-8.878238396674645,64,D1A
2065,-8.887001644571924,65,D1A
2066,-8.907767206397914,66,D1A
2067,-8.917529106163684,67,D1A
2068,-8.921620585349178,68,D1A
2069,-8.932565890682346,69,D1A
2070,-8.966877271647972,70,D1A
2071,-8.969022028382469,71,D1A
2072,-9.022979528207888,72,D1A
2073,-9.084385146188971,73,D1A
2074,-9.161881528236101,74,D1A
2075,-9.164406476733586,75,D1A
2076,-9.183571960325432,76,D1A
2077,-9.325697318400842,77,D1A
2078,-9.365019144527155,78,D1A
2079,-9.368542676108977,79,D1A
2080,-9.372749486604564,80,D1A
2081,-9.389631922916042,81,D1A
2082,-9.489417870473577,82,D1A
2083,-9.496225037142437,83,D1A
2084,-9.505477602968332,84,D1A
2085,-9.507186531944157,85,D1A
2086,-9.530040452076472,86,D1A
2087,-9.531865930689433,87,D1A
2088,-9.613001281225776,88,D1A
2089,-9.637532979746075,89,D1A
2090,-9.68814350002061,90,D1A
2091,-9.712074625026688,91,D1A
2092,-9.755971304555535,92,D1A
2093,-9.757639914988012,93,D1A
2094,-9.798613241281217,94,D1A
2095,-9.901670066603435,95,D1A
2096,-9.988596621020724,96,D1A
2097,-10.104966026408514,97,D1A
2098,-10.107476676353958,98,D1A
2099,-10.224386787483184,99,D1A
2100,-1.8091870511103276,0,D2K
2101,-2.190133525904391,1,D2K
2102,-2.2796585784585557,2,D2K
2103,-2.281249646553881,3,D2K
2104,-2.303811759189815,4,D2K
2105,-2.452705428217551,5,D2K
2106,-2.629771032709056,6,D2K
2107,-2.848730021175465,7,D2K
2108,-3.1019795512374255,8,D2K
2109,-3.453294994107203,9,D2K
2110,-3.943768644818768,10,D2K
2111,-4.4061684848597835,11,D2K
2112,-4.502444651718198,12,D2K
2113,-4.68522842595797,13,D2K
2114,-4.8675345770494785,14,D2K
2115,-4.938408964161611,15,D2K
2116,-5.176922545449053,16,D2K
2117,-5.243855027143324,17,D2K
2118,-5.498916510155473,18,D2K
2119,-5.697859686188643,19,D2K
2120,-5.699513897485227,20,D2K
2121,-5.753600919298865,21,D2K
2122,-5.838625664721491,22,D2K
2123,-6.158359206232518,23,D2K
2124,-6.243835818311764,24,D2K
2125,-6.262366281122671,25,D2K
2126,-6.422368506957215,26,D2K
2127,-6.478796661132951,27,D2K
2128,-6.688799531145853,28,D2K
2129,-6.716145728362003,29,D2K
2130,-6.783981331215446,30,D2K
2131,-6.82543754315829,31,D2K
2132,-6.925506689517101,32,D2K
2133,-7.1588161696736545,33,D2K
2134,-7.18834536979403,34,D2K
2135,-7.246117951165231,35,D2K
2136,-7.2596284205151065,36,D2K
2137,-7.440700247874595,37,D2K
2138,-7.492593641732781,38,D2K
2139,-7.533541825993018,39,D2K
2140,-7.586056862458542,40,D2K
2141,-7.628256284435502,41,D2K
2142,-7.741004137252026,42,D2K
2143,-7.75986549572876,43,D2K
2144,-7.8727514625517205,44,D2K
2145,-7.880083762171593,45,D2K
2146,-7.959910072203808,46,D2K
2147,-7.960008660991329,47,D2K
2148,-7.977204923086723,48,D2K
2149,-7.977514774091131,49,D2K
2150,-8.046256277163376,50,D2K
2151,-8.072567376187722,51,D2K
2152,-8.087862872366452,52,D2K
2153,-8.187543682751908,53,D2K
2154,-8.191508285556782,54,D2K
2155,-8.231924174327846,55,D2K
2156,-8.239943743300154,56,D2K
2157,-8.304464888593712,57,D2K
2158,-8.331410657588497,58,D2K
2159,-8.339149117702425,59,D2K
2160,-8.34324844494199,60,D2K
2161,-8.358077159712327,61,D2K
2162,-8.388303542929314,62,D2K
2163,-8.401329289270437,63,D2K
2164,-8.403129719703129,64,D2K
2165,-8.438507295618185,65,D2K
2166,-8.440571522131737,66,D2K
2167,-8.446583370329446,67,D2K
2168,-8.48469751058564,68,D2K
2169,-8.48680622910301,69,D2K
2170,-8.497406356440695,70,D2K
