,treatment,score,dimention
64,LES,0.33755120761868174,64
65,LES,0.33848636898600937,65
66,LES,0.33898894339439833,66
67,LES,0.3391126885057314,67
68,LES,,0
69,LES,0.10623174511219025,1
70,LES,0.20204130776539397,2
71,LES,0.21814151198731213,3
72,LES,0.20950156611262905,4
73,LES,0.23363396587720064,5
74,LES,0.24294947383334176,6
75,LES,0.22234536635331648,7
76,LES,0.2411814739938638,8
77,LES,0.2579766537308009,9
78,LES,0.26047535186819093,10
79,LES,0.2644853866321909,11
80,LES,0.283845418819476,12
81,LES,0.28350822519949637,13
82,LES,0.29120755721656,14
83,LES,0.30203585145364964,15
84,LES,0.3028998489863025,16
85,LES,0.3062069440561068,17
86,LES,0.3104121231417579,18
87,LES,0.3111478805790854,19
88,LES,0.31214686445807616,20
89,LES,0.31457981395852463,21
90,LES,0.3165408344816475,22
91,LES,0.317727260094811,23
92,LES,0.3158968275716202,24
93,LES,0.3181592830865626,25
94,LES,0.31988467059404424,26
95,LES,0.3181331612699818,27
96,LES,0.3184721107885471,28
97,LES,0.31623848463403237,29
98,LES,0.320537643774917,30
99,LES,0.3230205494675694,31
100,LES,0.32231406746357705,32
101,LES,0.3217707392404904,33
102,LES,0.32328146631806565,34
103,LES,0.3247093818674621,35
104,LES,0.3251869896037346,36
105,LES,0.32375693819811724,37
106,LES,0.3264842911137499,38
107,LES,0.32831357510559767,39
108,LES,0.3299124899081508,40
109,LES,0.3303515516367973,41
110,LES,0.3290459411330058,42
111,LES,0.32761015705323504,43
112,LES,0.32914339543095417,44
113,LES,0.3298843289680733,45
114,LES,0.32989707983775307,46
115,LES,0.32896708109492756,47
116,LES,0.3285124024007169,48
117,LES,0.3275760764524148,49
118,LES,0.3266596201224504,50
119,LES,0.3268601352002747,51
120,LES,0.3271605974854501,52
121,LES,0.32676627534008207,53
122,LES,0.32577527736881073,54
123,LES,0.3252258644358579,55
124,LES,0.3231705691588962,56
125,LES,0.32070540236457146,57
126,LES,0.3204338960969597,58
127,LES,0.3210317069180785,59
128,LES,0.3198488832911405,60
129,LES,0.31982273172777254,61
130,LES,0.3178331016146363,62
131,LES,0.316694914699559,63
132,LES,0.31831234201243563,64
133,LES,0.31841616479708934,65
134,LES,0.31590586287481315,66
135,LES,0.31555587454098954,67
136,SHM,0.09863602029073071,0
137,SHM,0.41276748658901186,1
138,SHM,0.566284035057097,2
139,SHM,0.5738531169989198,3
140,SHM,0.49436027312239295,4
141,SHM,0.47595996697320797,5
142,SHM,0.4583885179718379,6
143,SHM,0.4598546579695886,7
144,SHM,0.4519135443098391,8
145,SHM,0.44518003466430833,9
146,SHM,0.4435359985830659,10
147,SHM,0.4446865942018958,11
148,SHM,0.4396940652097988,12
149,SHM,0.4488612876757725,13
150,SHM,0.4269011310505846,14
151,SHM,0.42419463941358804,15
152,SHM,0.41474150770749585,16
153,SHM,0.4118182017375849,17
154,SHM,0.39978423885246717,18
155,SHM,0.400516012760996,19
156,SHM,0.39917728547279074,20
157,SHM,0.38909159166316876,21
158,SHM,0.38302119459902206,22
159,SHM,0.3744251506094972,23
160,SHM,0.3718944065794624,24
161,SHM,0.372050331402203,25
162,SHM,0.3729097391677497,26
163,SHM,0.3715287104163376,27
164,SHM,0.36792916948989884,28
165,SHM,0.36828605811736326,29
