,treatment,score,dimention
110,D1A,0.45038586476324705,42
111,D1A,0.44683545323841023,43
112,D1A,0.440251972218908,44
113,D1A,0.4334305093524523,45
114,D1A,0.4345144906816998,46
115,D1A,0.4341634465755415,47
116,D1A,0.434295838476339,48
117,D1A,0.43461823355235496,49
118,D1A,0.43356104145954166,50
119,D1A,0.4327941031258501,51
120,D1A,0.43299728077130595,52
121,D1A,0.4324669561837733,53
122,D1A,0.43279830766000804,54
123,D1A,0.4335939854066072,55
124,D1A,0.4337097085091661,56
125,D1A,0.43262085978860143,57
126,D1A,0.4325025035199519,58
127,D1A,0.43355363699219607,59
128,D1A,0.43321993451636875,60
129,D1A,0.43248087598696194,61
130,D1A,0.4321029065516496,62
131,D1A,0.4321860008382088,63
132,D1A,0.43060755323196254,64
133,D1A,0.43088654839244633,65
134,D1A,0.4309490747890854,66
135,D1A,0.4344745895780303,67
136,D2K,-0.043505257297035804,0
137,D2K,0.13873578990715751,1
138,D2K,0.32567994424281466,2
139,D2K,0.3757549678219214,3
140,D2K,0.3830309707909628,4
141,D2K,0.36415705735478354,5
142,D2K,0.3616962210312249,6
143,D2K,0.3698572873887592,7
144,D2K,0.3782222990877149,8
145,D2K,0.3731964904154572,9
146,D2K,0.3797669920467507,10
147,D2K,0.38400597592881447,11
148,D2K,0.3922992134706954,12
149,D2K,0.39053570566214435,13
150,D2K,0.3899471561561897,14
151,D2K,0.3924490437908724,15
152,D2K,0.39953941705156504,16
153,D2K,0.39889331772835357,17
154,D2K,0.39721099683371963,18
155,D2K,0.40088098442869513,19
156,D2K,0.402755390032455,20
157,D2K,0.40030223819674726,21
158,D2K,0.4007957674676166,22
159,D2K,0.4002177328584665,23
160,D2K,0.39884258954344676,24
161,D2K,0.40323795939780605,25
162,D2K,0.40138288627241714,26
163,D2K,0.40277074500608223,27
164,D2K,0.39597306197335613,28
165,D2K,0.39612893616130807,29
166,D2K,0.3974131720633146,30
167,D2K,0.3952166480688888,31
168,D2K,0.3923861624183178,32
169,D2K,0.3920516858122156,33
170,D2K,0.3923779248688364,34
171,D2K,0.39158939056313635,35
172,D2K,0.3921732416465338,36
173,D2K,0.3906335685501031,37
174,D2K,0.38983424392073074,38
175,D2K,0.38790565578457836,39
176,D2K,0.3877505900001129,40
177,D2K,0.3881423379539576,41
178,D2K,0.38721131686994936,42
179,D2K,0.3840830278658427,43
180,D2K,0.3835216525489571,44
181,D2K,0.3843064556498149,45
182,D2K,0.3838701953386445,46
183,D2K,0.38339603367058384,47
184,D2K,0.37977609724628203,48
185,D2K,0.3777906378024001,49
186,D2K,0.3742751598888926,50
187,D2K,0.37371199008773603,51
188,D2K,0.3722313735378633,52
189,D2K,0.3753094196287279,53
190,D2K,0.374286291363486,54
191,D2K,0.3768997885790002,55
192,D2K,0.37477573327698466,56
193,D2K,0.37235722872868715,57
194,D2K,0.3714066064312288,58
195,D2K,0.3699614365017372,59
196,D2K,0.36969910830261843,60
197,D2K,0.3701472288224179,61
198,D2K,0.3696631632148212,62
199,D2K,0.3693643025083798,63
200,D2K,0.3673417880951,64
201,D2K,0.36716690249704775,65
202,D2K,0.3658641773565178,66
203,D2K,0.36391964445589775,67
204,D2A,0.3297680441626968,0
205,D2A,0.5185318895029402,1
206,D2A,0.5594947878521868,2
207,D2A,0.582981464975816,3
208,D2A,0.6148553176548635,4
209,D2A,0.6235547453324436,5
210,D2A,0.6324647393845063,6
211,D2A,0.6404306983925119,7
212,D2A,0.6446213181607224,8
213,D2A,0.6463052049696164,9
214,D2A,0.6555753149791412,10
215,D2A,0.6598033047739946,11
216,D2A,0.6646163380647453,12
217,D2A,0.6691373252317463,13
218,D2A,0.6683297375747224,14
219,D2A,0.6708130900324412,15
220,D2A,0.6717504657738,16
221,D2A,0.6687600155484901,17
222,D2A,0.669992963839108,18
223,D2A,0.6727062517173326,19
224,D2A,0.6717765323961131,20
225,D2A,0.6714431782435366,21
226,D2A,0.6712656122240261,22
227,D2A,0.6692904395514244,23
228,D2A,0.6695342150544978,24
229,D2A,0.669144798704348,25
230,D2A,0.669127462826439,26
231,D2A,0.6706330957674376,27
232,D2A,0.6729519980807943,28
233,D2A,0.670602525516779,29
234,D2A,0.6702566695095826,30
235,D2A,0.6688146394068658,31
236,D2A,0.6678811183165398,32
237,D2A,0.6670623706023016,33
238,D2A,0.6668113106088385,34
239,D2A,0.6666980833167044,35
240,D2A,0.6670746240040148,36
241,D2A,0.667302735620762,37
242,D2A,0.6673992773839068,38
243,D2A,0.6648990422068867,39
244,D2A,0.662898836157276,40
245,D2A,0.6612067795378285,41
246,D2A,0.6604228410303867,42
247,D2A,0.6593179710578819,43
248,D2A,0.6586115632286172,44
249,D2A,0.6580366288250479,45
