,treatment,score,dimention
201,D2K,0.024522018374427357,65
202,D2K,0.024436026632553842,66
203,D2K,0.02538322580588004,67
204,D2A,0.7144173499820358,0
205,D2A,0.7753860884277395,1
206,D2A,0.817103581275757,2
207,D2A,0.825791574180727,3
208,D2A,0.8246673332371592,4
209,D2A,0.8211546137603583,5
210,D2A,0.817756275750301,6
211,D2A,0.8223808796796842,7
212,D2A,0.8237515614183197,8
213,D2A,0.8263216808658119,9
214,D2A,0.8264067178210353,10
215,D2A,0.8276848334036443,11
216,D2A,0.8290641176072331,12
217,D2A,0.8334030732453025,13
218,D2A,0.8343372212640274,14
219,D2A,0.8349591089922921,15
220,D2A,0.8353064117700725,16
221,D2A,0.8370385306189667,17
222,D2A,0.8369228144879,18
223,D2A,0.8359951011221717,19
224,D2A,0.8352248205120227,20
225,D2A,0.8355323246987189,21
226,D2A,0.8349619613177441,22
227,D2A,0.8344308300953682,23
228,D2A,0.834141841468597,24
229,D2A,0.8345517775124124,25
230,D2A,0.8334333517533155,26
231,D2A,0.8333865779360872,27
232,D2A,0.8336159239260981,28
233,D2A,0.8332941772679991,29
234,D2A,0.8328578480397318,30
235,D2A,0.8324100924526463,31
236,D2A,0.8318247189150787,32
237,D2A,0.8313096295496393,33
238,D2A,0.8302606415295459,34
239,D2A,0.8302746028142409,35
240,D2A,0.828733642778388,36
241,D2A,0.8291401452338419,37
242,D2A,0.8290190835170282,38
243,D2A,0.8289688683810122,39
244,D2A,0.8286781590648507,40
245,D2A,0.8278791682706338,41
246,D2A,0.8271482776526322,42
247,D2A,0.8266794340442319,43
248,D2A,0.8258817757379826,44
249,D2A,0.8254726984342234,45
250,D2A,0.8245753550127672,46
251,D2A,0.8239454414848112,47
252,D2A,0.8227226248844106,48
253,D2A,0.8227963454725058,49
254,D2A,0.8221443777601178,50
255,D2A,0.8212695278079023,51
256,D2A,0.8205409896445636,52
257,D2A,0.8195585023499117,53
258,D2A,0.8194855313157097,54
259,D2A,0.8188877922039897,55
260,D2A,0.8187705032243815,56
261,D2A,0.8187314286273677,57
262,D2A,0.8182886210146966,58
263,D2A,0.8179390519411066,59
264,D2A,0.8176329839052632,60
265,D2A,0.8162944332968173,61
266,D2A,0.8159517948984789,62
267,D2A,0.8156626526412475,63
268,D2A,0.8150278975001146,64
269,D2A,0.8141306385780573,65
270,D2A,0.8139838192447907,66
271,D2A,0.8134285238828171,67
272,D1A,-0.3400877668370528,0
273,D1A,-0.09038567894784766,1
274,D1A,0.05585097004448791,2
275,D1A,0.14484976097697377,3
276,D1A,0.1536450255615739,4
277,D1A,0.13103460418279533,5
278,D1A,0.11098018699885037,6
279,D1A,0.10252827445890866,7
280,D1A,0.09497374024886951,8
281,D1A,0.10598637470282779,9
282,D1A,0.07443607683020215,10
283,D1A,0.07168621699771116,11
284,D1A,0.07164738443729524,12
285,D1A,0.07614906022635037,13
286,D1A,0.07430296821292481,14
287,D1A,0.07385957843869917,15
288,D1A,0.07909393374339613,16
289,D1A,0.06504901727543844,17
290,D1A,0.0635820219869132,18
291,D1A,0.05264411563644522,19
292,D1A,0.03609178695852577,20
293,D1A,0.03930704038557975,21
294,D1A,0.040813528879930394,22
295,D1A,0.04101231938444039,23
296,D1A,0.04204742925860827,24
297,D1A,0.040439719479843816,25
298,D1A,0.03330365677606051,26
299,D1A,0.031314604772031074,27
300,D1A,0.030672193542635173,28
301,D1A,0.033407465911786116,29
302,D1A,0.03212714584755172,30
303,D1A,0.030862287288910717,31
304,D1A,0.03260078605840888,32
305,D1A,0.034086545933577184,33
306,D1A,0.03675584178276703,34
307,D1A,0.038648312744759106,35
308,D1A,0.038400191784832116,36
309,D1A,0.039133812120760836,37
310,D1A,0.03615237733712018,38
311,D1A,0.036765119543412994,39
312,D1A,0.03727641218126865,40
313,D1A,0.03618801155693796,41
314,D1A,0.03652226933301894,42
315,D1A,0.03426150808759598,43
316,D1A,0.03247302970796462,44
317,D1A,0.037099373502246236,45
318,D1A,0.038307292043827545,46
319,D1A,0.038508518212498344,47
320,D1A,0.037700298087213424,48
321,D1A,0.03562153143017266,49
322,D1A,0.03491570994093829,50
323,D1A,0.03625908097946429,51
324,D1A,0.0354143052638638,52
325,D1A,0.03489163870820555,53
326,D1A,0.035560903407744204,54
327,D1A,0.03483790082216087,55
328,D1A,0.033025272629871094,56
329,D1A,0.03224014921821794,57
330,D1A,0.032268434393361245,58
331,D1A,0.03114048935474789,59
332,D1A,0.033779485286386746,60
333,D1A,0.03349136111814155,61
334,D1A,0.03188077298927039,62
335,D1A,0.03314048767141842,63
336,D1A,0.03250773257371986,64
337,D1A,0.03179388758771817,65
338,D1A,0.03143630618986459,66
339,D1A,0.031149603018628347,67
340,LD6,,0
341,LD6,0.36486127468817875,1
342,LD6,0.3307884880610861,2
343,LD6,0.3353492783013968,3
344,LD6,0.3599556440600522,4
345,LD6,0.35154042930688567,5
346,LD6,0.32528766293561007,6
347,LD6,0.3133490887547655,7
348,LD6,0.3218608233565491,8
