scorer,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000
bodyparts,headR,headR,headR,headL,headL,headL,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
71,469.738881111145,234.14923191070557,1.0,449.5038857460022,222.4783296585083,1.0,467.90076065063477,306.49854135513306,1.0
72,470.661075592041,233.67617416381836,1.0,450.1463794708252,222.48334217071533,1.0,467.7876000404358,306.1914710998535,1.0
73,470.8720588684082,232.96834897994995,1.0,450.50060081481934,221.94362926483154,1.0,467.8660707473755,305.92435932159424,1.0
74,471.38864612579346,232.91463088989258,1.0,450.7788333892822,221.89213275909424,1.0,467.9469060897827,306.0441732406616,1.0
75,470.945175409317,232.68999338150024,1.0,450.5610148906708,221.6044979095459,1.0,467.52975845336914,305.8595848083496,1.0
76,471.26071858406067,232.85504484176636,1.0,450.73801851272583,221.83722972869873,1.0,468.043568611145,306.08446073532104,1.0
77,470.58025550842285,232.91075086593628,1.0,450.2863303422928,221.73437404632568,1.0,467.7101821899414,305.8307647705078,1.0
78,470.7805082798004,232.61424446105957,1.0,450.2958596944809,221.37713432312012,1.0,467.7081871032715,305.8704409599304,1.0
79,470.57850074768066,232.71827745437622,1.0,450.23362588882446,221.5723695755005,1.0,467.6016983985901,305.8411765098572,1.0
80,471.1177923679352,232.46234464645386,1.0,450.25669515132904,221.84941959381104,1.0,467.73000478744507,305.572078704834,1.0
81,470.92251205444336,232.69251155853271,1.0,449.98375177383423,221.71257972717285,1.0,467.83338737487793,305.8328104019165,1.0
82,471.03075218200684,232.6424856185913,1.0,450.13499188423157,221.64091205596924,1.0,468.25738048553467,305.95105028152466,1.0
83,470.5066957473755,232.64691400527954,1.0,449.7496409416199,221.5219268798828,1.0,467.6159996986389,305.6351537704468,1.0
84,470.3347997665405,232.73994159698486,1.0,449.6139917373657,221.55092239379883,1.0,467.62767601013184,305.72373485565186,1.0
85,470.2363758087158,232.64378833770752,1.0,449.71654057502747,221.53684997558594,1.0,467.50158882141113,305.8007130622864,1.0
86,469.96497631073,232.83357572555542,1.0,449.6125011444092,221.6573257446289,1.0,467.2807149887085,305.9061722755432,1.0
87,470.60275650024414,232.61200618743896,1.0,449.7857120037079,221.38555812835693,1.0,467.940345287323,305.8612713813782,1.0
88,470.52019119262695,232.641263961792,1.0,449.8712728023529,221.3908634185791,1.0,467.61067056655884,305.6273455619812,1.0
