,log_lyp,lyp,dim,treatment,animal
37,-4.258626651121275,0.014141710582389295,17,SKF,1830
38,-4.261799638521979,0.014096910225957156,19,SKF,1830
39,-4.254165441432775,0.014204940655088765,21,SKF,1830
40,-4.24846989811604,0.014286076346492552,23,SKF,1830
41,-4.249301884710235,0.0142741954655408,25,SKF,1830
42,-4.259485406540373,0.014129571524778112,27,SKF,1830
43,-4.252046092703038,0.014235077802304024,29,SKF,1830
44,-4.2537204890381926,0.014211262583822522,31,SKF,1830
45,0.8729734807844476,2.394018849589114,3,SHM,2010
46,-1.1051042791451438,0.3311763456550727,5,SHM,2010
47,-1.8253606159574451,0.16115951695610498,7,SHM,2010
48,-2.89299988388387,0.055409740250664086,9,SHM,2010
49,-4.189102987431259,0.01515987737635959,11,SHM,2010
50,-4.107493787763103,0.01644894746410004,13,SHM,2010
51,-4.25363402678157,0.01421249137477623,15,SHM,2010
52,-4.242223402099666,0.01437559355886545,17,SHM,2010
53,-4.208234689554633,0.014872599933832633,19,SHM,2010
54,-4.200466178121825,0.014988587839821356,21,SHM,2010
55,-4.208762312999646,0.014864754871220718,23,SHM,2010
56,-4.272906601146281,0.013941202690577307,25,SHM,2010
57,-4.231779949256421,0.014526511070591629,27,SHM,2010
58,-4.234094026169286,0.01449293447109898,29,SHM,2010
59,-4.226919512146473,0.014597288128461014,31,SHM,2010
60,1.8846514538233354,6.58405919337945,3,D1A,2630
61,-0.4630532637385418,0.6293591095963306,5,D1A,2630
62,-1.4834530646157673,0.22685299631275163,7,D1A,2630
63,-2.4432616430851497,0.08687702699219203,9,D1A,2630
64,-2.751564169465069,0.0638279453612695,11,D1A,2630
65,-2.8321795566179273,0.05888437188121811,13,D1A,2630
66,-2.8879036325936593,0.05569284297950719,15,D1A,2630
67,-2.795846628636083,0.061063154626669135,17,D1A,2630
68,-2.8412811518585124,0.05835086174198158,19,D1A,2630
69,-2.8460828463689656,0.05807135033072011,21,D1A,2630
70,-2.8448098444878207,0.05814532234219711,23,D1A,2630
71,-2.89949489580787,0.05505101953574796,25,D1A,2630
72,-2.888966877501293,0.05563365931675716,27,D1A,2630
73,-2.9294247002332816,0.05342776628688433,29,D1A,2630
74,-2.9417425376553115,0.05277368843048899,31,D1A,2630
75,1.0380452568627256,2.8236920235370935,3,LES,S073
76,-1.60585540458946,0.20071778653918756,5,LES,S073
77,-1.9722449149545613,0.13914413857660132,7,LES,S073
78,-2.75955237922056,0.06332010541197959,9,LES,S073
79,-3.6976339529671867,0.02478209275475491,11,LES,S073
80,-3.8211369941621363,0.02190288328093117,13,LES,S073
81,-4.003132311802034,0.018258358353962157,15,LES,S073
82,-3.973616709939813,0.018805296691082513,17,LES,S073
83,-3.99485087885047,0.018410191554960334,19,LES,S073
84,-4.004860950769483,0.018226823508264094,21,LES,S073
85,-3.9910347824042014,0.018480580842262062,23,LES,S073
86,-4.020961155302911,0.01793571764204178,25,LES,S073
87,-3.986040196084582,0.018573114590049514,27,LES,S073
88,-4.044311625662107,0.017521762036663075,29,LES,S073
89,-4.0176984343476345,0.017994332453729667,31,LES,S073
90,0.883570603178227,2.4195234594090844,3,LES,0710
91,-0.6984844473559966,0.4973384755531079,5,LES,0710
92,-1.6695579358810801,0.18833030130835357,7,LES,0710
93,-2.533703086886442,0.07936458151513213,9,LES,0710
94,-3.146196688306566,0.04301541718739925,11,LES,0710
95,-3.341508033255581,0.03538355788536228,13,LES,0710
96,-3.4016767551148264,0.03331735804761417,15,LES,0710
97,-3.413763974525523,0.032917067901668685,17,LES,0710
98,-3.4478196502224545,0.03181492848234419,19,LES,0710
99,-3.3851664981760474,0.03387200224956086,21,LES,0710
100,-3.3787291695996804,0.034090750780268145,23,LES,0710
101,-3.3872960804446395,0.0337999457864836,25,LES,0710
102,-3.4083285824981098,0.03309647219475392,27,LES,0710
103,-3.459432873941751,0.03144759171077659,29,LES,0710
104,-3.4909422651421074,0.030472145798621876,31,LES,0710
105,1.0696822060477966,2.9144531572043877,3,SHM,4101
106,-0.4815409852532944,0.6178305900396662,5,SHM,4101
107,-1.0605798165299782,0.34625498775007296,7,SHM,4101
108,-1.8863253394924249,0.15162796766773295,9,SHM,4101
109,-2.8180861897703884,0.0597201263999479,11,SHM,4101
110,-2.9736752148069,0.051115105704204654,13,SHM,4101
111,-3.0694702495392168,0.04644575300047062,15,SHM,4101
112,-3.028494774635315,0.048388418812011745,17,SHM,4101
113,-3.0398959169655253,0.04783986855376401,19,SHM,4101
114,-3.0527502759515897,0.047228853228079064,21,SHM,4101
115,-3.0760356399429045,0.04614181731937636,23,SHM,4101
116,-3.077952422555303,0.04605345819590289,25,SHM,4101
117,-3.0622865965105635,0.046780604463046216,27,SHM,4101
118,-3.0561671995140336,0.04706775123999006,29,SHM,4101
119,-3.051935347582246,0.04726735704722259,31,SHM,4101
120,0.8983772025241308,2.4556149103328737,3,LES,S070
121,-1.6040231850816087,0.20108588269676198,5,LES,S070
122,-1.9427834786948908,0.1433045090703717,7,LES,S070
123,-2.8643290528091363,0.05702137663271457,9,LES,S070
124,-3.7532468200815483,0.02344151179260565,11,LES,S070
125,-3.7042912785014463,0.024617658250190022,13,LES,S070
126,-3.7661239704154785,0.023141587153006352,15,LES,S070
127,-3.726449223686282,0.024078180460061813,17,LES,S070
128,-3.8889010023518193,0.020467827776575753,19,LES,S070
129,-3.856182173436001,0.021148587228325966,21,LES,S070
130,-3.867611834541061,0.020908242191110822,23,LES,S070
131,-3.8451455367784013,0.021383289279653488,25,LES,S070
132,-3.8729953972273607,0.02079598380477416,27,LES,S070
133,-3.8695476254470456,0.02086780735533757,29,LES,S070
134,-3.8983835946131498,0.020274657038451997,31,LES,S070
135,0.8552533940396421,2.3519702803234406,3,LES,S072
136,-0.9894190730012383,0.37179261266525465,5,LES,S072
137,-1.6873907669677024,0.18500160709016067,7,LES,S072
138,-2.5187458179250317,0.08056058105292155,9,LES,S072
139,-3.4784763285407667,0.03085438718469732,11,LES,S072
140,-3.5350934180236138,0.029156033163177428,13,LES,S072
141,-3.6314066996320222,0.026478910324910173,15,LES,S072
142,-3.789796907784839,0.022600191307980414,17,LES,S072
143,-3.7821511835719135,0.022773648395424922,19,LES,S072
144,-3.810342051494394,0.022140604434839124,21,LES,S072
145,-3.7889204264060994,0.022620008638309638,23,LES,S072
146,-3.810671313854537,0.022133315567208642,25,LES,S072
147,-3.821248808548354,0.02190043436039554,27,LES,S072
148,-3.844227929962635,0.02140291973678322,29,LES,S072
149,-3.8366519418959366,0.0215656837720017,31,LES,S072
150,1.1946234536600402,3.3023140620859643,3,LES,S074
151,-1.5516185086485714,0.21190472649478043,5,LES,S074
152,-1.7381114512800258,0.1758521926490056,7,LES,S074
153,-2.64568450186915,0.0709567670730117,9,LES,S074
154,-3.4126066416962746,0.032955185958378416,11,LES,S074
155,-3.4598246091599916,0.03143527499417797,13,LES,S074
156,-3.5324679653809885,0.029232681521783883,15,LES,S074
157,-3.5407380100336265,0.028991922854940243,17,LES,S074
158,-3.544199821663014,0.028891731800579894,19,LES,S074
159,-3.5679025835291793,0.028214970205874504,21,LES,S074
160,-3.5442379855828845,0.028890629199882452,23,LES,S074
161,-3.540082139289547,0.029010944045994917,25,LES,S074
162,-3.5509768715142256,0.028696593073188212,27,LES,S074
163,-3.5640633547403375,0.02832350213791376,29,LES,S074
164,-3.58462586428593,0.02774704684962748,31,LES,S074
165,2.0078135091004485,7.44701669896256,3,D2K,4313
166,0.27111458438505365,1.3114253306407393,5,D2K,4313
167,-0.5647828137258507,0.5684836001858995,7,D2K,4313
168,-0.7378753533603059,0.4781286916369945,9,D2K,4313
169,-0.9983662292794584,0.3684809630717528,11,D2K,4313
170,-1.1112633213452159,0.3291428850793365,13,D2K,4313
171,-1.212898678832606,0.2973341528557851,15,D2K,4313
172,-1.303420626672029,0.27160115610196456,17,D2K,4313
173,-1.3553626380212407,0.2578537699141828,19,D2K,4313
174,-1.366823314404338,0.25491546096846524,21,D2K,4313
175,-1.3964066629010083,0.24748466390807744,23,D2K,4313
176,-1.3814553467013952,0.25121268533918606,25,D2K,4313
177,-1.4000269126959561,0.24659032744179565,27,D2K,4313
178,-1.4058390118243032,0.24516127692906614,29,D2K,4313
179,-1.419113070964168,0.241928495176437,31,D2K,4313
180,1.2853967430320565,3.6161023360637636,3,SHM,3301
181,-0.28082234659566563,0.755162480749704,5,SHM,3301
182,-0.8701723408663047,0.41887935299606294,7,SHM,3301
183,-1.9818921683830277,0.137808234074293,9,SHM,3301
184,-2.8614855716351073,0.05718374658223231,11,SHM,3301
185,-3.0148774480284115,0.04905184651917827,13,SHM,3301
186,-3.056332461069086,0.04705997339293459,15,SHM,3301
187,-3.078940830111507,0.04600796109837427,17,SHM,3301
188,-3.0555000581941534,0.04709916255840529,19,SHM,3301
189,-3.010733022313465,0.04925556009957205,21,SHM,3301
190,-3.0905017994287074,0.045479127277694875,23,SHM,3301
191,-3.008839497868978,0.04934891506370761,25,SHM,3301
192,-3.071257707448406,0.04636280732495787,27,SHM,3301
193,-3.025910509441941,0.04851362903703928,29,SHM,3301
194,-3.068612878947194,0.04648559129886994,31,SHM,3301
195,1.5110131232961606,4.531319254682992,3,D2A,2630
196,-1.4296976278740174,0.23938129353231874,5,D2A,2630
197,-3.2152511195333435,0.04014525130094516,7,D2A,2630
198,-3.2226909987870833,0.039847683784425075,9,D2A,2630
199,-3.3561046629874234,0.03487082835739937,11,D2A,2630
200,-3.410893538167265,0.03301168998855098,13,D2A,2630
201,-3.4213686398899275,0.03266769401975299,15,D2A,2630
202,-3.412378791755316,0.03296269565106236,17,D2A,2630
203,-3.405135737917031,0.033202312963301936,19,D2A,2630
204,-3.42272031922666,0.032623567601869796,21,D2A,2630
205,-3.421768572813239,0.03265463174557667,23,D2A,2630
206,-3.422235105460148,0.03263940084692656,25,D2A,2630
207,-3.4072379705022318,0.03313258729455159,27,D2A,2630
208,-3.436536732621126,0.03217592642421321,29,D2A,2630
209,-3.4108623146161086,0.033012720746834,31,D2A,2630
210,0.4386820229942105,1.5506621340837767,3,LES,0801
211,-1.6583316224045648,0.19045646848755218,5,LES,0801
212,-2.017206009287459,0.13302662147984115,7,LES,0801
213,-3.1251647560398768,0.043929695344510744,9,LES,0801
214,-3.981714908088253,0.018653622644388024,11,LES,0801
215,-3.9956973947980643,0.018394613628622585,13,LES,0801
216,-4.002821882476846,0.01826402716366187,15,LES,0801
217,-4.020409888643984,0.017945607730969437,17,LES,0801
