,size,treatment,animal,dimension,Embedding
6156,-5.354145953226794,SHM,10,21,6-Dimensional
6157,-7.723194016303068,SHM,10,22,6-Dimensional
6158,-8.483863394873488,SHM,10,23,6-Dimensional
6159,-7.856632654154603,SHM,10,24,6-Dimensional
6160,-9.060179390522118,SHM,10,25,6-Dimensional
6161,-9.492381532384542,SHM,10,26,6-Dimensional
6162,-8.969011787257191,SHM,10,27,6-Dimensional
6163,-8.577747558765088,SHM,10,28,6-Dimensional
6164,-9.024876098704794,SHM,10,29,6-Dimensional
6165,-10.446158376356978,SHM,10,30,6-Dimensional
6166,-10.445632285454227,SHM,10,31,6-Dimensional
6167,-10.004312132622445,SHM,10,32,6-Dimensional
6168,-10.990799330504654,SHM,10,33,6-Dimensional
6169,-10.77700569388499,SHM,10,34,6-Dimensional
6170,-11.736432341794181,SHM,10,35,6-Dimensional
6171,-11.784337184295719,SHM,10,36,6-Dimensional
6172,-11.251202858255908,SHM,10,37,6-Dimensional
6173,-10.23556179904068,SHM,10,38,6-Dimensional
6174,-10.993943572845973,SHM,10,39,6-Dimensional
6175,-10.954871609200836,SHM,10,40,6-Dimensional
6176,-14.0074552461216,SHM,10,41,6-Dimensional
6177,-13.10752410852502,SHM,10,42,6-Dimensional
6178,-13.62053753013677,SHM,10,43,6-Dimensional
6179,-15.104350714548001,SHM,10,44,6-Dimensional
6180,-14.332099487359338,SHM,10,45,6-Dimensional
6181,-15.380914379516215,SHM,10,46,6-Dimensional
6182,-11.698273931655711,SHM,10,47,6-Dimensional
6183,-12.338984747094859,SHM,10,48,6-Dimensional
6184,-11.96962963181993,SHM,10,49,6-Dimensional
6185,-11.840403852707604,SHM,10,50,6-Dimensional
6186,-12.484014625707001,SHM,10,51,6-Dimensional
6187,-12.807194847634634,SHM,10,52,6-Dimensional
6188,-14.382857758023755,SHM,10,53,6-Dimensional
6189,-12.211059216893725,SHM,10,54,6-Dimensional
6190,-12.331076677957059,SHM,10,55,6-Dimensional
6191,-14.737720941381738,SHM,10,56,6-Dimensional
6192,-13.156295082051292,SHM,10,57,6-Dimensional
6193,-13.437963091553314,SHM,10,58,6-Dimensional
6194,-12.726056155161412,SHM,10,59,6-Dimensional
6195,0.5061818441630878,LID,26,1,body
6196,0.8229451766516432,LID,26,2,body
6197,-0.7750641142510976,LID,26,3,body
6198,0.4047232025891198,LID,26,4,body
6199,-0.5526353689272093,LID,26,5,body
6200,-2.340823881263188,LID,26,6,body
6201,-1.241509902184335,LID,26,7,body
6202,-2.099448155156251,LID,26,8,body
6203,-1.3714760081760882,LID,26,9,body
6204,-2.0494261791323725,LID,26,10,body
6205,-3.7155101096847853,LID,26,11,body
6206,-4.766700388190244,LID,26,12,body
6207,-5.812496249551502,LID,26,13,body
6208,-5.767678536504033,LID,26,14,body
6209,-5.848113302842615,LID,26,15,body
6210,-6.079013687330017,LID,26,16,body
6211,-6.898245987974544,LID,26,17,body
6212,-7.313674114661465,LID,26,18,body
6213,-7.198751810033655,LID,26,19,body
6214,-7.34952858853794,LID,26,20,body
6215,-7.797504455733252,LID,26,21,body
6216,-8.544108511304374,LID,26,22,body
6217,-9.086736564057944,LID,26,23,body
6218,-8.87337634784913,LID,26,24,body
6219,-10.301401798420867,LID,26,25,body
6220,-9.974629144716745,LID,26,26,body
6221,-8.971281636967717,LID,26,27,body
6222,-9.647447007783748,LID,26,28,body
6223,-10.277386959911704,LID,26,29,body
6224,-10.798625373056659,LID,26,30,body
6225,-10.606192306726188,LID,26,31,body
6226,-10.572373864290304,LID,26,32,body
6227,-10.953682360522542,LID,26,33,body
6228,-11.403445028821928,LID,26,34,body
6229,-11.029133155020267,LID,26,35,body
6230,-10.962732181244602,LID,26,36,body
6231,-11.275332525932251,LID,26,37,body
6232,-11.645986405660901,LID,26,38,body
6233,-11.315014076176292,LID,26,39,body
6234,-11.725514558681198,LID,26,40,body
6235,-11.697666359911507,LID,26,41,body
6236,-11.749434903604307,LID,26,42,body
6237,-11.814525167846332,LID,26,43,body
6238,-12.341012826323656,LID,26,44,body
6239,-12.496956507309761,LID,26,45,body
6240,-13.098831095646966,LID,26,46,body
6241,-12.21312555741284,LID,26,47,body
6242,-12.932188626157831,LID,26,48,body
6243,-13.073083992444085,LID,26,49,body
6244,-13.100140879885414,LID,26,50,body
6245,-12.739880006703178,LID,26,51,body
6246,-13.480307074972835,LID,26,52,body
6247,-13.74948798783362,LID,26,53,body
6248,-13.265393151128604,LID,26,54,body
6249,-13.229282056626955,LID,26,55,body
6250,-13.225434297779081,LID,26,56,body
6251,-13.440394710802813,LID,26,57,body
6252,-14.071279110204454,LID,26,58,body
6253,-13.271491275407705,LID,26,59,body
6254,-1.5949836307495961,LID,26,1,head
6255,-2.070196535189175,LID,26,2,head
6256,-2.932682655678968,LID,26,3,head
6257,-2.9362455535257763,LID,26,4,head
6258,-3.276878791251042,LID,26,5,head
